customer_city,Revenue,Orders,Customers,Average_Order_Value
porto dos gauchos,655.67,1,1,655.67
pouso redondo,655.27,3,3,218.42333333333332
anta gorda,655.25,4,4,163.8125
itinga,653.25,3,3,217.75
sao jose do ouro,651.99,5,5,130.398
bananeiras,651.83,5,5,130.366
ariranha,647.27,5,5,129.454
sapucai-mirim,647.16,4,4,161.79
carajas,646.56,4,4,161.64
lavras do sul,646.56,3,3,215.51999999999998
ivai,645.77,2,2,322.885
roque gonzales,643.61,5,4,128.722
colinas do tocantins,643.0799999999999,3,3,214.35999999999999
jesuitas,642.93,4,4,160.7325
anitapolis,642.38,2,2,321.19
uchoa,641.29,3,3,213.76333333333332
ivaipora,640.86,7,7,91.55142857142857
diamante do norte,640.71,5,5,128.142
desterro,639.98,1,1,639.98
horizonte,639.41,5,5,127.88199999999999
uibai,639.36,4,4,159.84
icapui,638.4000000000001,5,5,127.68000000000002
ituacu,637.19,3,3,212.39666666666668
tangua,636.04,6,6,106.00666666666666
canapolis,635.12,6,5,105.85333333333334
palestina,634.5699999999999,10,10,63.456999999999994
candido mendes,633.16,1,1,633.16
arembepe,633.04,2,2,316.52
ilha de itamaraca,632.1500000000001,4,4,158.03750000000002
pau brasil,631.84,1,1,631.84
cristal,631.04,3,3,210.34666666666666
sao jose do egito,630.2,4,4,157.55
orindiuva,629.59,5,5,125.918
barra dos coqueiros,629.46,3,3,209.82000000000002
barra de santo antonio,629.12,2,2,314.56
elias fausto,628.16,5,5,125.63199999999999
sales oliveira,627.74,6,6,104.62333333333333
euclides da cunha,625.62,5,5,125.124
araci,625.51,3,3,208.50333333333333
palmares do sul,624.78,5,4,124.95599999999999
presidente bernardes,624.0699999999999,6,6,104.01166666666666
lavrinhas,621.35,1,1,621.35
ouro,620.5,1,1,620.5
posto da mata,620.13,4,4,155.0325
cafeara,619.84,3,2,206.61333333333334
sao miguel do tapuio,618.51,3,3,206.17
uaua,618.1800000000001,4,4,154.54500000000002
cachoeira de minas,616.9200000000001,7,7,88.13142857142859
cardoso moreira,616.88,6,6,102.81333333333333
alfredo vasconcelos,616.74,3,3,205.58
candido de abreu,616.64,4,4,154.16
juara,616.48,5,5,123.296
arenapolis,616.37,2,2,308.185
agua doce do norte,615.86,4,4,153.965
lencois,615.36,1,1,615.36
ipora do oeste,615.23,6,6,102.53833333333334
paulino neves,614.63,1,1,614.63
martins soares,613.9,6,5,102.31666666666666
rio novo,613.25,4,4,153.3125
tanque d'arca,611.54,2,1,305.77
jambeiro,611.48,4,4,152.87
capitao leonidas marques,610.9300000000001,5,5,122.186
una,610.3399999999999,5,5,122.06799999999998
parauna,610.16,4,4,152.54
santo antonio das missoes,610.06,4,4,152.515
tanhacu,609.8,4,4,152.45
sao valentim,609.47,3,3,203.15666666666667
guimarania,609.33,4,4,152.3325
pitanga,607.71,3,3,202.57000000000002
capao do cipo,606.98,3,3,202.32666666666668
santa cruz cabralia,605.1800000000001,5,5,121.03600000000002
santo antonio do caiua,605.1,1,1,605.1
curuca,604.4499999999999,3,2,201.48333333333332
tenente portela,604.0500000000001,3,3,201.35000000000002
itupiranga,602.38,1,1,602.38
cristais paulista,600.64,4,4,150.16
francisco sa,599.75,3,3,199.91666666666666
irai,598.26,2,2,299.13
nossa senhora das dores,598.23,1,1,598.23
bituruna,598.23,5,5,119.646
rifaina,597.77,2,2,298.885
vila dos cabanos,597.67,4,4,149.4175
cariri do tocantins,596.4,2,2,298.2
sao vicente ferrer,595.76,3,3,198.58666666666667
paraibano,595.72,3,3,198.57333333333335
dores do rio preto,592.01,4,4,148.0025
itobi,591.42,7,6,84.48857142857142
joaquim tavora,591.05,3,3,197.01666666666665
caputira,590.6600000000001,2,2,295.33000000000004
ladario,590.57,5,5,118.114
munhoz,590.5,4,4,147.625
reboucas,589.8199999999999,6,6,98.30333333333333
gloria do goita,587.92,2,2,293.96
iguai,587.1400000000001,2,2,293.57000000000005
